               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12104,            0.086483,             0.07709,          0.00037249,            0.078792,          0.00029511,          8.3575e-05,             0.12082,            0.050095,            0.081531,              0.0946,              0.0006,              0.0006
                   1,             0.11488,            0.085621,             0.07732,           0.0010415,             0.10044,          0.00092473,          0.00026398,             0.11696,            0.048141,            0.080322,            0.088274,           0.0012743,           0.0012743
                   2,             0.10756,            0.086263,            0.074942,           0.0013065,             0.12823,           0.0018735,          0.00036739,               0.112,            0.048454,            0.078711,            0.081921,           0.0019208,           0.0019208
                   3,             0.10201,            0.093319,             0.07357,           0.0014607,            0.098177,           0.0013924,          0.00031867,             0.10773,            0.049866,            0.076636,             0.07554,           0.0025396,           0.0025396
                   4,            0.094628,             0.10771,            0.067963,           0.0023665,             0.17942,           0.0035258,           0.0011122,             0.10233,            0.054985,            0.073706,            0.069131,           0.0031307,           0.0031307
                   5,            0.093164,             0.11533,            0.069138,             0.96728,           0.0069444,            0.013652,           0.0027135,            0.098858,             0.07756,            0.069495,            0.062694,           0.0036941,           0.0036941
                   6,            0.084348,            0.092244,            0.065917,           0.0094728,             0.24682,            0.013933,           0.0041244,             0.09096,            0.087097,            0.062927,             0.05623,           0.0042298,           0.0042298
                   7,            0.084031,             0.10224,            0.062304,             0.01959,             0.17197,            0.018052,           0.0041405,            0.089746,            0.090912,            0.059375,            0.049738,           0.0047377,           0.0047377
                   8,            0.076593,            0.085643,            0.060311,           0.0059405,             0.15371,           0.0068596,           0.0020575,            0.087524,             0.07518,              0.0578,            0.043218,           0.0052179,           0.0052179
                   9,            0.079213,            0.095146,            0.055752,             0.52398,            0.097881,            0.016121,           0.0043239,             0.08715,            0.079086,            0.057788,             0.03667,           0.0056704,           0.0056704
                  10,             0.07516,            0.088054,            0.059957,             0.76738,            0.021352,           0.0090226,            0.003056,            0.091175,            0.084778,            0.058337,            0.030095,           0.0060952,           0.0060952
                  11,            0.079537,            0.094687,            0.054993,             0.58074,              0.1107,            0.042901,            0.015525,            0.084743,            0.079651,            0.058191,            0.023492,           0.0064923,           0.0064923
                  12,            0.072538,            0.089202,            0.060046,             0.52323,             0.13022,            0.041916,            0.013722,            0.089974,            0.067413,            0.057703,            0.016862,           0.0068616,           0.0068616
                  13,            0.068011,            0.087342,            0.054304,             0.63776,             0.10684,            0.042594,            0.013453,            0.088915,            0.069046,            0.057068,            0.010203,           0.0072032,           0.0072032
                  14,             0.07869,            0.086575,            0.052915,             0.71386,            0.088059,            0.051777,            0.017603,            0.086767,            0.051628,            0.055334,            0.007228,            0.007228,            0.007228
                  15,            0.078746,             0.08457,            0.055798,             0.67113,            0.081593,              0.0395,            0.015252,            0.088534,            0.047653,            0.055066,            0.007228,            0.007228,            0.007228
                  16,             0.07673,            0.074901,            0.057837,             0.75188,            0.047262,             0.08281,            0.040403,            0.083612,            0.047241,            0.054529,             0.00703,             0.00703,             0.00703
                  17,             0.07438,            0.084118,            0.049254,             0.61046,             0.14278,            0.062353,            0.024052,            0.084109,            0.054863,            0.054553,            0.006832,            0.006832,            0.006832
                  18,            0.073117,             0.11329,            0.054466,              0.6628,             0.10338,             0.08453,            0.031482,            0.081284,            0.059738,             0.05426,            0.006634,            0.006634,            0.006634
                  19,            0.067779,            0.086821,            0.051372,             0.55199,             0.14302,            0.095029,            0.048428,            0.072021,            0.054962,            0.054419,            0.006436,            0.006436,            0.006436
                  20,            0.063644,            0.098841,            0.051724,             0.76735,            0.063973,             0.10082,            0.051122,            0.076595,            0.055901,            0.054114,            0.006238,            0.006238,            0.006238
                  21,            0.067835,             0.11352,            0.051003,             0.61957,            0.097069,            0.086204,            0.047493,            0.079125,            0.058876,            0.054419,             0.00604,             0.00604,             0.00604
                  22,            0.062857,            0.080986,            0.048541,             0.65007,             0.12408,             0.10426,            0.056036,            0.075642,            0.050636,            0.055115,            0.005842,            0.005842,            0.005842
                  23,            0.061461,            0.079537,            0.050877,             0.65457,             0.13453,             0.11323,            0.054323,            0.068681,            0.051453,            0.055542,            0.005644,            0.005644,            0.005644
                  24,            0.065325,            0.081467,            0.052683,              0.6922,             0.11593,             0.11978,            0.061272,            0.070036,            0.051826,             0.05603,            0.005446,            0.005446,            0.005446
                  25,            0.054669,            0.079772,            0.047341,             0.67454,             0.13784,             0.14102,            0.085981,            0.066948,            0.052917,            0.055347,            0.005248,            0.005248,            0.005248
                  26,            0.062343,            0.091855,            0.048845,             0.70051,             0.12802,             0.13474,            0.080325,            0.066375,            0.053284,            0.055042,             0.00505,             0.00505,             0.00505
                  27,            0.056866,            0.091566,            0.052274,             0.64318,             0.18009,             0.13889,             0.08796,            0.067168,            0.050247,            0.054919,            0.004852,            0.004852,            0.004852
                  28,            0.057001,            0.092347,            0.051849,             0.51998,             0.18067,             0.14762,            0.089221,            0.067288,            0.050407,            0.055029,            0.004654,            0.004654,            0.004654
                  29,            0.053568,            0.083827,            0.048304,              0.7004,             0.15137,             0.17487,             0.09808,             0.07128,            0.051559,            0.054626,            0.004456,            0.004456,            0.004456
                  30,            0.054179,            0.089808,            0.050971,              0.6842,             0.15425,             0.15365,            0.099094,            0.069643,            0.051025,            0.054468,            0.004258,            0.004258,            0.004258
                  31,            0.055825,            0.089977,            0.043676,             0.60895,             0.16794,             0.18869,             0.11988,            0.067775,            0.051025,            0.054688,             0.00406,             0.00406,             0.00406
                  32,            0.053608,            0.086717,            0.045542,             0.70764,             0.15986,             0.19227,             0.13589,            0.065042,            0.050827,            0.054919,            0.003862,            0.003862,            0.003862
