               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12104,            0.086483,             0.07709,          0.00037249,            0.078792,          0.00029511,          8.3575e-05,             0.12082,            0.050095,            0.081531,              0.0946,              0.0006,              0.0006
                   1,             0.11486,            0.085638,            0.077319,           0.0010401,             0.10044,          0.00092756,          0.00026552,             0.11693,            0.048126,            0.080298,            0.088287,           0.0012871,           0.0012871
                   2,              0.1074,            0.086351,            0.074924,            0.001013,            0.095818,           0.0015474,          0.00038034,             0.11186,            0.048645,            0.078674,             0.08196,           0.0019604,           0.0019604
                   3,             0.10202,            0.093409,            0.073448,           0.0018134,             0.09589,           0.0020546,          0.00039256,             0.10719,            0.050209,            0.076465,             0.07562,           0.0026198,           0.0026198
                   4,            0.094386,             0.10769,            0.067857,           0.0074331,             0.15869,            0.012143,           0.0053769,             0.10177,             0.05674,            0.073352,            0.069265,           0.0032654,           0.0032654
                   5,            0.092643,             0.11534,            0.068837,           0.0053838,             0.15083,             0.01458,           0.0032072,            0.098014,            0.081497,            0.068774,            0.062897,            0.003897,            0.003897
                   6,            0.083745,              0.0925,            0.065552,            0.011023,             0.25004,            0.015796,           0.0046477,            0.089976,            0.086563,            0.062231,            0.056515,           0.0045149,           0.0045149
                   7,            0.083729,             0.10215,             0.06181,            0.020797,             0.15941,            0.020934,           0.0041788,            0.091013,            0.094254,            0.058679,            0.050119,           0.0051188,           0.0051188
                   8,            0.076477,            0.085398,            0.060151,           0.0063768,             0.20718,           0.0094383,           0.0028269,             0.08717,            0.074707,            0.057751,            0.043709,            0.005709,            0.005709
                   9,            0.079893,            0.094421,            0.055233,             0.53775,            0.087524,            0.019569,           0.0049788,            0.088552,            0.078079,            0.058008,            0.037285,           0.0062852,           0.0062852
                  10,            0.076975,            0.086334,            0.059721,             0.46439,             0.10383,             0.01927,           0.0045007,            0.091003,            0.082062,            0.058435,            0.030848,           0.0068476,           0.0068476
                  11,            0.082458,            0.093617,            0.054663,             0.60329,              0.1289,            0.058264,            0.022011,            0.083683,            0.078659,            0.057751,            0.024396,           0.0073961,           0.0073961
                  12,            0.073423,            0.089086,            0.059653,             0.58249,            0.099645,            0.022609,           0.0098938,             0.09352,            0.076591,            0.057642,            0.017931,           0.0079308,           0.0079308
                  13,            0.071717,            0.083474,             0.05421,             0.60255,            0.067977,            0.034867,            0.013969,             0.09227,            0.062668,            0.056079,            0.011452,           0.0084516,           0.0084516
                  14,            0.080386,            0.087354,            0.052483,              0.6641,            0.097123,            0.060057,            0.018829,              0.0839,            0.056473,            0.054419,            0.008614,            0.008614,            0.008614
                  15,            0.072106,            0.089253,            0.055263,             0.61076,             0.13276,            0.039646,            0.012481,            0.082626,            0.067413,            0.054407,            0.008614,            0.008614,            0.008614
                  16,            0.071181,            0.079107,            0.056808,             0.66791,             0.14389,            0.091705,            0.040303,            0.075997,            0.056908,            0.053882,            0.008515,            0.008515,            0.008515
                  17,            0.067329,            0.087592,            0.048231,             0.64368,             0.14077,            0.051538,            0.019127,            0.080232,            0.067978,            0.054932,            0.008416,            0.008416,            0.008416
                  18,            0.074334,             0.11363,            0.053436,             0.67282,             0.13618,            0.094734,             0.04287,            0.077816,            0.056412,            0.053918,            0.008317,            0.008317,            0.008317
                  19,            0.064082,            0.085741,             0.05046,             0.66623,             0.16267,            0.096541,            0.037002,            0.077544,            0.050362,            0.054224,            0.008218,            0.008218,            0.008218
                  20,            0.065511,            0.095267,            0.050837,             0.67032,             0.10361,             0.10236,            0.038927,            0.077896,            0.051888,            0.054651,            0.008119,            0.008119,            0.008119
                  21,             0.06635,             0.11259,            0.050106,             0.69042,             0.13734,             0.11078,            0.052176,            0.074915,            0.052238,            0.056274,             0.00802,             0.00802,             0.00802
                  22,            0.066827,             0.07669,            0.047454,             0.66542,             0.11713,             0.12382,            0.063319,            0.078807,            0.048462,            0.056763,            0.007921,            0.007921,            0.007921
                  23,             0.06059,             0.07919,            0.050295,             0.65271,             0.16951,             0.13013,            0.067557,            0.072082,            0.054619,            0.058167,            0.007822,            0.007822,            0.007822
                  24,            0.068244,            0.080361,            0.052139,              0.6988,             0.17991,             0.16904,             0.11287,            0.074003,             0.05368,            0.057739,            0.007723,            0.007723,            0.007723
                  25,            0.057552,            0.079367,            0.046035,             0.67227,             0.13566,             0.12875,            0.060887,            0.075616,            0.054047,            0.056042,            0.007624,            0.007624,            0.007624
                  26,            0.063679,            0.091312,             0.04749,             0.58024,             0.17461,             0.12794,            0.079907,             0.06882,            0.057236,            0.056445,            0.007525,            0.007525,            0.007525
                  27,            0.058129,            0.089606,            0.050781,             0.55215,              0.1594,             0.12489,            0.068458,            0.071419,            0.051163,            0.056665,            0.007426,            0.007426,            0.007426
